Name	Order	Action	Hive	Key	Value Name	Type	Value Data
No Screensaver	1						
WhoAmI	1	Replace	HKEY_CURRENT_USER		WhoAmI	REG_SZ	%username%
Skype	2						
ShowDriveLettersFirst	2	Replace	HKEY_CURRENT_USER	Software\Microsoft\Windows\CurrentVersion\Explorer	ShowDriveLettersFirst	REG_DWORD	00000004
OneNote2016	3						
DisallowDefaultBrowserPrompt	3	Create	HKEY_CURRENT_USER	SOFTWARE\Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppContainer\Storage\microsoft.microsoftedge_8wekyb3d8bbwe\MicrosoftEdge\Main	DisallowDefaultBrowserPrompt	REG_DWORD	00000001
Outlook disable Email desktop alerts	4						
InitialKeyboardIndicators	4	Update	HKEY_CURRENT_USER	Control Panel\Keyboard	InitialKeyboardIndicators	REG_SZ	2147483650
Disable Office Hardware Acceleration	5						
PSTDisableGrow	5	Replace	HKEY_CURRENT_USER	Software\Microsoft\Office\16.0\Outlook\PST	PSTDisableGrow	REG_DWORD	00000001
CitrixReceiver	6						
PSTDisableGrowAllowAuthenticodeOverrides	6	Replace	HKEY_CURRENT_USER	Software\Policies\Microsoft\office\16.0\outlook\pst	PSTDisableGrowAllowAuthenticodeOverrides	REG_DWORD	00000001
Disable Game Bar	7						
OneDrive	8						
Internet Explorer	9						
Slow Favorites pane	10						
SEP Advanced Device-control	11						
Region and Language	12						
Disable quicklaunch recent files and folders	13						
Office Trusted Locations	14						
Office Telemetry Dashboard	15						
Office Telemetry Dashboard	16						
Edge-WMI	17						
